INSERT INTO tips (id, title, content, like_count, dislike_count, comment_count, pregnancy_week, views) VALUES
('T0001', "Stay Hydrated", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 13, 9, 14, 1, 625),
('T0002', "Eat Balanced Meals", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 51, 7, 19, 1, 659),
('T0003', "Support Your Mental Wellbeing", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 53, 0, 8, 1, 357),
('T0004', "Manage Stress Effectively", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 95, 5, 19, 1, 375),
('T0005', "Take Prenatal Vitamins", "Regular antenatal checkups allow your healthcare provider to monitor your health and your baby's development.", 12, 4, 9, 1, 512),
('T0006', "Attend Antenatal Checkups", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 21, 10, 2, 2, 869),
('T0007', "Support Your Mental Wellbeing", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 86, 3, 3, 2, 140),
('T0008', "Practice Gentle Exercise", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 55, 8, 19, 2, 953),
('T0009', "Eat Balanced Meals", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 84, 8, 1, 2, 800),
('T0010', "Eat Balanced Meals", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 18, 4, 7, 2, 783),
('T0011', "Get Adequate Rest", "Eating balanced meals with fruits, vegetables, protein, and grains provides essential nutrients for you and your baby.", 65, 8, 6, 3, 984),
('T0012', "Attend Antenatal Checkups", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 76, 4, 11, 3, 621),
('T0013', "Support Your Mental Wellbeing", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 10, 4, 6, 3, 329),
('T0014', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 26, 3, 6, 3, 135),
('T0015', "Support Your Mental Wellbeing", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 62, 2, 4, 3, 552),
('T0016', "Manage Stress Effectively", "Avoid alcohol, tobacco, and unprescribed medications to protect your baby's growth and development.", 91, 3, 18, 4, 839),
('T0017', "Get Adequate Rest", "Supporting your mental health during pregnancy benefits both you and your baby's well-being.", 10, 10, 13, 4, 576),
('T0018', "Attend Antenatal Checkups", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 45, 4, 9, 4, 136),
('T0019', "Support Your Mental Wellbeing", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 61, 6, 19, 4, 723),
('T0020', "Practice Gentle Exercise", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 51, 7, 13, 4, 177),
('T0021', "Take Prenatal Vitamins", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 42, 8, 5, 5, 965),
('T0022', "Monitor Your Baby's Movements", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 62, 1, 15, 5, 236),
('T0023', "Avoid Harmful Substances", "Practicing stress management techniques like meditation or deep breathing improves overall health.", 57, 2, 15, 5, 285),
('T0024', "Manage Stress Effectively", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 31, 5, 20, 5, 646),
('T0025', "Stay Hydrated", "Prenatal vitamins supply important nutrients like folic acid, iron, and calcium to support healthy fetal growth.", 71, 0, 13, 5, 103),
('T0026', "Attend Antenatal Checkups", "Gentle exercises like walking or prenatal stretching strengthen muscles, improve circulation, and reduce discomfort.", 68, 9, 0, 6, 659),
('T0027', "Practice Gentle Exercise", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 55, 0, 16, 6, 235),
('T0028', "Manage Stress Effectively", "Tracking your baby's movements helps ensure they are active and healthy; report any significant changes to your provider.", 11, 1, 10, 6, 588),
('T0029', "Attend Antenatal Checkups", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 71, 6, 0, 6, 145),
('T0030', "Manage Stress Effectively", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 17, 3, 2, 6, 260),
('T0031', "Avoid Harmful Substances", "Drinking plenty of water helps prevent fatigue, supports digestion, and aids fetal development.", 10, 6, 12, 7, 813),
('T0032', "Monitor Your Baby's Movements", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 83, 6, 7, 7, 176),
('T0033', "Attend Antenatal Checkups", "Getting enough rest is crucial as your body adjusts to pregnancy hormones and increased energy demands.", 27, 2, 7, 7, 604),
